Dia,Hora,BTC-USD,USD/EUR,Sentimentos_PreProcessados
1,0,,,
1,1,,,
1,2,,,
1,3,,,
1,4,,,
1,5,,,
1,6,,,
1,7,-0.0013437796438306748,0.00020774168690095002,28.8718875
1,8,-0.00119138483032235,8.323355718382502e-05,24.937199999999997
1,9,-2.346427811994994e-05,0.00019389563651246253,25.094524999999997
1,10,0.00220430689323695,-2.7415447617837484e-05,23.85765
1,11,0.001533561717754975,0.000152454374122075,23.880975
1,12,0.0013664089601979625,0.000221540675662525,25.165525
1,13,0.0020586125713234,0.0002630528194077,25.938475
1,14,0.0031720310524330376,0.00041505740570915,25.27005
1,15,0.004125627300265025,0.00012464972667995,24.815424999999998
1,16,0.002823652043124962,0.0002351711573329375,23.166275000000002
1,17,0.0036794316336921,0.0001660573179897625,22.743962500000002
1,18,0.0031365370377868,0.0003042656843992625,23.329625
1,19,0.0034352820194566,5.5399932064325e-05,24.173425
1,20,0.0025791712088475,-2.749258390267499e-05,23.8798
1,21,0.00237857045266925,1.3112866763750772e-07,24.9452
1,22,0.0008640960761582,-0.0001103557723372625,24.129875
2,0,0.0012710063831249375,-1.3767166108250004e-05,29.293837499999995
2,1,0.0016385556671376252,-6.900451269803751e-05,32.231449999999995
2,2,0.0002933396451784878,-5.519921887628751e-05,33.144225
2,3,0.0006587357261612378,-6.900603755555e-05,33.1791625
2,4,0.0006008318201522002,1.3817498143762493e-05,34.2038875
2,5,0.0010916727503937252,2.762371257031249e-05,33.7011375
2,6,0.0008770691754178127,0.0,32.2577875
2,7,0.0007901076755053752,0.0,34.0556625
2,8,-0.0011774116114273247,0.0,29.136187500000002
2,9,-0.00017266195746668748,0.0,27.8543125
2,10,0.0003886409852151375,0.0,27.4117
2,11,-7.539241797562533e-06,0.0,27.277575000000002
2,12,0.0005379059772263501,0.0,26.221587500000002
2,13,0.0005318058938173876,0.0,25.7647375
2,14,0.00010529056792822508,0.0,25.660825000000003
2,15,-0.000955616475804775,0.0001304389408093875,29.637625
2,16,-0.0006519908920642625,-5.641957171847499e-05,33.1362625
2,17,-0.0015531259806447625,-7.030045708974999e-05,35.8082875
2,18,-0.0025072631566157248,-0.00019527273053482499,38.292825
2,19,-0.0017145523101030624,-0.00015374297124834998,42.709625
2,20,-0.0020689205956984503,-0.00019524501413883749,43.8630625
2,21,-0.00182752579110965,-0.0001535055085933375,46.695462500000005
2,22,-0.0014195759330881,-0.0001535055085933375,48.6347875
3,0,-6.311780072750862e-07,-0.0001588790632077,47.5017125
3,1,-0.0007833382739407002,5.574949480808751e-05,45.762474999999995
3,2,-0.0003341824142006252,2.2895944981251172e-07,42.868012500000006
3,3,-0.0005647773168063376,0.00020852258040353753,39.3679375
3,4,-0.0009410892476154876,0.00019475361741976254,35.1161125
3,5,-0.0011387819125847252,0.00016687734952005004,32.9629875
3,6,-0.0013405129207388648,0.00012513784397455004,30.935
3,7,-0.0014919542756969648,0.00019455468294897504,28.4348625
3,8,-0.0017153264170766773,0.00011111297516701253,24.5427375
3,9,-0.0017897111426855396,0.000249790488206825,23.2611625
3,10,-0.0012678364856846523,0.00023607467326023756,24.2454875
3,11,8.340167298904769e-05,0.00012503465360143754,24.6362
3,12,0.00033724201701611017,0.00023591448532116256,23.507625
3,13,0.0012814757014119977,0.00019449987140597507,24.0871
3,14,0.000142124769633125,0.00027767241165512505,22.6167375
3,15,-0.002355258415647962,0.00037447353122162507,22.4848875
3,16,-0.0027271809992910245,0.00042968431574540004,22.277725
3,17,-0.002273886918483262,0.00029088703830793753,21.0166375
3,18,-0.003160765844462537,0.00024962200083362507,18.9735375
3,19,-0.003423087254227624,0.0003326758297250126,18.3352125
3,20,-0.004473140448491162,0.00013872452995887505,17.6845125
3,21,-0.005164273709955875,0.00022185399901435005,16.6266625
3,22,-0.0027503979560005373,0.00013868145876520005,16.1991625
4,0,-0.0026415716068134,0.0006507551188870876,17.035375
4,1,-0.0025846430874807125,8.581180062598764e-05,17.5294625
4,2,-0.0027307535266970127,0.0003207399116693001,19.867775
4,3,-0.002181646423882375,0.00047270018263116263,20.826124999999998
4,4,-0.0023264806592241502,0.0003208509969051751,21.6933125
4,5,-0.0016803922408556086,0.0004589495527004626,24.244475
4,6,-0.0018239541643780834,0.0006245124498880626,25.295137500000003
4,7,-0.00310143943107416,0.0006658334096259126,26.64085
4,8,-0.0002637015166676476,-2.6230046427199926e-05,27.6332375
4,9,0.00011565357023933989,0.00040056695249772505,26.833
4,10,0.00075738779840469,0.00031706852583361254,27.634124999999997
4,11,0.0009341489217012274,0.0005921216857914376,28.1271875
4,12,0.0003035310317817399,0.00112776110936495,27.7319
4,13,-0.00016839364886275153,0.0013868392191255126,26.660425
4,14,-0.001442151046774039,0.001248939777587825,26.1281
4,15,-0.0018888960544336125,0.0010712470175191502,26.60495
4,16,-0.0023042192599404625,0.0011532832940792626,26.8142875
4,17,-0.00216961026963315,0.0010717878544174375,28.068337500000002
4,18,-0.0030282410062395623,0.000783440304470525,25.427574999999997
4,19,-0.0056164888626496,0.0007405446699882,23.8696625
4,20,-0.0058771201483713755,2.8586380400612526e-05,23.4042625
4,21,-0.00576871043619135,-0.000313279613411525,23.074425
4,22,-0.006045226108387,-6.7189623895e-05,23.1659625
5,0,-0.006445370178096063,6.9182176435825e-05,28.819087500000002
5,1,-0.006056689766125575,9.177372660125005e-07,28.045587500000003
5,2,-0.0063910341349182375,0.000123725033327175,28.6775875
5,3,-0.005555642338737888,0.0002329926178046125,30.6443
5,4,-0.003852704653517275,-2.674290548229999e-05,33.7902
5,5,-0.0023828223983604125,0.000246089989516525,33.8419625
5,6,-0.001927792464112225,0.000246089989516525,33.8821625
5,7,-0.00028797742819480006,0.0,34.7325875
5,8,0.0007932138993082374,0.0,29.171837500000002
5,9,0.00016359802455664997,0.0,29.27915
5,10,0.0005471252672267375,0.0,28.2072375
5,11,0.0003111308088951,0.0,25.914937499999997
5,12,0.0008511672763308625,0.0,23.770975
5,13,0.00025428682942908753,0.0,24.762375
5,14,0.000532307240348525,0.0,25.563399999999998
5,15,0.00046412032401105,0.0,24.3591125
5,16,0.0008847239306145749,0.0,23.67945
5,17,0.0013173108449370623,0.0,22.3103625
5,18,0.0009210183483686748,0.0,21.6569
5,19,0.0008919708474295248,0.0,22.624725
5,20,0.0012711180013710874,0.0,21.2745125
5,21,0.0012525740126679249,0.0,20.389474999999997
5,22,0.0009985215912184373,0.0,19.6136375
6,0,0.0014661639362073247,0.0,22.8499625
6,1,0.0004600368404220874,0.0,23.298225
6,2,0.0004181236031386749,0.0,25.1274625
6,3,0.00012204643691329992,0.0,26.8687875
6,4,0.0004224904429545749,0.0,27.6525375
6,5,0.00019317921898522484,0.0,28.8129
6,6,0.00037568768317122476,0.0,29.4767
6,7,5.7899442637437346e-05,0.0,29.773850000000003
6,8,-0.001142893904217975,0.0,27.2596375
6,9,-0.0020282620755186376,0.0,29.1051875
6,10,-0.003839289521281663,0.0,28.8018875
6,11,-0.0032443167479228124,0.0,28.10255
6,12,-0.0030493786703641376,0.0,27.504575
6,13,-0.0019259393373010877,0.0,28.7224875
6,14,-0.0019810435752201376,0.0,29.9572125
6,15,-0.0017273796296049877,0.0,30.945224999999997
6,16,2.17300229574122e-05,0.0,31.859575
6,17,0.0006084184323259874,0.0,31.179074999999997
6,18,0.0018028644159533125,0.0,30.442825
6,19,0.0011508767409397125,0.0,29.630387499999998
6,20,0.0010220685530408125,0.0,29.8016
6,21,0.00029810818512665007,0.0,28.5456875
6,22,0.0005264484441440875,0.0,26.3624625
7,0,0.00021973617328815005,0.0005184989103170125,30.057475
7,1,-0.0007422070214829625,0.000803854770262225,30.7474875
7,2,-0.002008604083408975,0.000803854770262225,28.4638875
7,3,-0.001114599095611425,0.0004784777304758625,29.793775
7,4,-0.000626851648908452,0.0003561378372612625,32.578375
7,5,-0.0005000544472591895,0.0004241719310928875,33.349037499999994
7,6,-0.0007369442799493145,0.000451365901738125,35.353825
7,7,-0.001418000205421102,0.0004649639815271625,37.110200000000006
7,8,-0.0007179374494854394,4.162507030261255e-05,33.856162499999996
7,9,-0.0006130224586451895,-0.00013505692110422497,32.2309125
7,10,0.001288168837880053,0.00012281729898745,33.260287500000004
7,11,0.0013923467421320657,0.00013667304989266245,33.154775
7,12,0.002402939470905105,-9.401961963671247e-05,30.811225
7,13,0.002996514069899055,-0.00024375038633441248,30.447125
7,14,0.0025768840374306053,-0.00020281385724273745,30.420099999999998
7,15,0.003456284180410505,-5.300079817789998e-05,29.99765
7,16,0.0024711883617498554,6.944706745597501e-05,28.316125
7,17,0.0019877270510701927,-0.00022929874033345,28.6802
7,18,-0.0004621595789308123,-0.000541563089123275,29.7607
7,19,-0.00326308293161525,5.562459641223757e-05,27.2033125
7,20,-0.0034719243478323,0.00019149821809716255,25.6726
7,21,-0.003554279766112162,0.0005043298324075126,23.9133875
7,22,-0.0025721633194350246,0.00043619933267060007,21.24645
8,0,-0.0021281152844704497,0.00035428954687195005,22.407575
8,1,-0.001135039005998437,-5.336962393923746e-05,23.32255
8,2,-1.5512658219449726e-05,0.00012311233926517505,23.7038625
8,3,0.002422244313815413,0.0002590836086988251,21.3959125
8,4,0.004267827286716988,-8.093744213617498e-05,24.4587
8,5,0.0029855153583084625,0.00023138149801535003,26.500600000000002
8,6,0.001399400359954275,4.0997233098687536e-05,27.904475
8,7,0.001556327147377275,2.5983718262503495e-07,29.2407625
8,8,0.001671983074015675,-0.0004480057013182875,28.298624999999998
8,9,0.001757554901192325,-0.00016258696557539996,29.855575
8,10,0.00100380364648335,-0.00027152341628813745,30.5503875
8,11,0.0010536669727610251,-0.00027133741865742494,31.8933
8,12,0.0007115024195201001,-0.0003804020203155,29.847099999999998
8,13,0.001617543607933025,-0.0006255570713187,28.398249999999997
8,14,0.0017424106459958005,-0.0005024779762637624,28.57075
8,15,0.00023995911591631267,-0.000134518044903475,28.96965
8,16,-0.0011993187701858621,0.000205052169897,28.4433125
8,17,0.0003078676580437253,-0.0006112136333909625,25.2994625
8,18,-0.0007329579341272121,-0.00022875269672240002,24.4312125
8,19,-0.0007160563527485746,-0.000160344578815,23.33525
8,20,-0.0008275491993516621,-5.1469717090225e-05,22.7432375
8,21,-0.0012402461726002496,0.0002485858664174375,24.0522875
8,22,-0.0005628169406728872,3.0253319327137517e-05,22.149762499999998
9,0,0.0006949999245886503,-0.0005149803181480999,23.378025
9,1,0.0020309179400125003,-0.0004604832800699625,23.8595875
9,2,0.0007763336623097504,0.0002194775697685501,26.7929625
9,3,0.007447266263199475,8.239586555087514e-05,26.986325
9,4,0.00846046140360005,-0.00017688008238634986,27.2836
9,5,0.008795131130914013,-0.00010868415455598737,28.5513625
9,6,0.0093699282907789,-0.0003269786315548123,28.5042
9,7,0.009466526890786638,-0.00023151150058721236,29.66355
9,8,0.010184382290411737,-0.0003684220646976874,26.6123125
9,9,0.009061763660878012,-0.0006147628986673499,25.934475
9,10,0.00856227971749325,-0.0005601094400919874,22.130925
9,11,0.0027001192913163625,-0.0007378117924390249,21.9806875
9,12,0.0010709477929448127,-0.0007796115253669499,22.769875000000003
9,13,0.0012420202464627627,-0.0011228945647068249,22.0740125
9,14,0.001579732128351175,-0.0012336813997678997,21.9479625
9,15,0.0019499950375446002,-0.0014677246197856,22.040212500000003
9,16,4.9842903937387536e-05,-0.0013890424997794124,23.946550000000002
9,17,0.0006458113395129126,-0.0013914841746567124,24.092975000000003
9,18,-0.0003923843948624123,-0.0011278573391684248,25.591575
9,19,0.0002009485641702627,-0.0012113721827426874,24.402425
9,20,-0.0003305495025678498,-0.0009358082892454373,23.604262499999997
9,21,0.00022343206911995008,-0.0007030434057396749,23.259162500000002
9,22,-0.0006340602899077874,-0.00041322970057133736,22.635437500000002
10,0,-0.0018437589071214125,1.4350133972625904e-06,24.1669
10,1,-0.0037447133202033376,0.00034679142398815014,23.453699999999998
10,2,-0.004402698081192501,0.0005544600729621502,23.2323
10,3,-0.0037408542829035123,0.0001942022099851251,23.9002375
10,4,-0.007990756501484663,0.00038787727195860013,23.7776375
10,5,-0.00806389893162095,0.0002079275946477876,25.064300000000003
10,6,-0.007976811259048713,0.00033245367353375006,26.4086625
10,7,-0.008213705094316324,0.00012489054661491263,27.238387499999998
10,8,-0.008000260814953312,0.0002906854013306001,25.8757875
10,9,-0.005572166126035725,8.364688893255009e-05,25.562475
10,10,-0.0054918625524473744,0.00013887905690265008,25.740975
10,11,-0.0053463225841797754,0.0002217941496074376,24.7330625
10,12,-0.0010789268951437126,-0.0004960636715750624,25.3950875
10,13,-0.0010362053216196499,-9.386393569453739e-05,24.066112500000003
10,14,-0.0002211772639403749,0.0005288703195473251,22.6040125
10,15,-0.00021973156057862486,0.000529275302305375,21.499312500000002
10,16,-0.0002411534674816874,0.00026589301940805005,21.547224999999997
10,17,-0.00021260860187622492,0.0005965026569296127,22.366
10,18,0.0003667692949375001,0.0005825622591568626,22.398175000000002
10,19,0.0008792618294196002,0.0005825622591568626,22.9401125
10,20,0.0010977008120830628,0.00138250047435855,22.896825
10,21,0.0013839682659816503,0.0008983467257622127,23.848775
10,22,0.0005289629015206751,0.0002479530137520752,24.6091375
11,0,0.00019381626175177507,0.0005095738670021378,27.05435
11,1,-0.00133586667704385,0.0005093473828917878,26.366274999999998
11,2,-0.0024380812689562626,0.0002479679550568003,26.7139875
11,3,-0.0016169381122112623,9.676129447630023e-05,26.709825
11,4,-0.002619730366733412,0.00013804131669086273,27.3737375
11,5,-0.0028171982011053497,4.191664532117524e-05,28.4309
11,6,-0.0015267166903415123,0.00012415043353361272,29.084
11,7,-0.0008989879389579873,0.00033051331811511275,29.59325
11,8,-0.0008148108430351998,0.00022019763301630023,28.275824999999998
11,9,0.0009842592723273628,0.00023371113472161274,29.418475
11,10,0.002057599593950825,0.00017898368185541275,29.2533
11,11,0.0035915807277169505,-0.00010910989723052477,29.198150000000002
11,12,0.004063852718458963,0.00018015777014917522,27.71855
11,13,0.001727430738116325,1.522323390575227e-06,26.72215
11,14,0.001338554167178775,0.0001802952794577502,26.444025
11,15,-0.00014399723492032493,0.0002349524577116752,25.3617375
11,16,-0.0008116133044011374,0.0005227408406232002,23.494400000000002
11,17,-0.000566082794165325,0.0006178714616355752,22.512787499999998
11,18,-0.001005393734735225,0.0008368139528781752,21.6429
11,19,-0.0032705918334937248,0.0012349950843562128,22.594312499999997
11,20,-0.004465891875846463,0.0008498970489301626,21.738574999999997
11,21,-0.0013094041377922252,0.0009736286597934502,20.3999125
11,22,-0.0009373327733446004,0.0008635010661377002,19.320175
12,0,0.0006962511040844996,0.0006024810033022751,20.9961375
12,1,0.0020107585882579745,0.0002597526716949127,23.0645875
12,2,0.001583283644503512,2.7336611858462717e-05,24.3051375
12,3,0.001872557743639862,-6.818698826204978e-05,25.704
12,4,0.001574676749617937,-5.454885783096228e-05,24.492575000000002
12,5,0.0029815303882524246,1.4880008252239597e-09,26.243525
12,6,0.0014622107318942497,1.3638929502950224e-05,28.5082
12,7,0.0010279340052225618,2.236166980751353e-19,29.0140875
12,8,2.3630255661299168e-05,2.236166980751353e-19,28.2472
12,9,-7.734737740600084e-05,2.236166980751353e-19,26.751337499999998
12,10,0.0002562341251385992,2.236166980751353e-19,24.9456875
12,11,-2.0103744123288318e-05,2.236166980751353e-19,24.952537500000002
12,12,0.0003384258066693492,2.236166980751353e-19,25.763374999999996
12,13,-0.00024362291046030077,2.236166980751353e-19,25.6821375
12,14,-0.0006018972136397632,2.236166980751353e-19,25.0285
12,15,-2.9103923966112763e-05,2.236166980751353e-19,23.03015
12,16,-6.188801897897368e-05,2.236166980751353e-19,21.6057
12,17,-0.00014961971426761118,2.236166980751353e-19,22.09865
12,18,-0.0004031168633852362,2.236166980751353e-19,23.4334375
12,19,-0.0001891687983274237,2.236166980751353e-19,21.4934625
12,20,-0.00012948909060906126,2.236166980751353e-19,20.09965
12,21,5.714670819625129e-05,2.236166980751353e-19,18.9927
12,22,0.0006592993728827262,2.236166980751353e-19,17.6478
13,0,0.0001365893956155137,2.236166980751353e-19,26.3430375
13,1,0.0004880858472223246,2.236166980751353e-19,27.5104875
13,2,0.0008467077654679121,2.236166980751353e-19,28.55215
13,3,0.0010230838655366497,2.236166980751353e-19,29.007450000000002
13,4,0.001091690856357912,2.236166980751353e-19,30.10285
13,5,0.0007575564249383621,2.236166980751353e-19,31.5253
13,6,0.0008607578234218996,2.236166980751353e-19,32.8747125
13,7,0.0006711868587059496,2.236166980751353e-19,34.08765
13,8,0.0004989741974378747,2.236166980751353e-19,27.1741125
13,9,-9.275126914293783e-05,2.236166980751353e-19,26.530025000000002
13,10,-0.00048772914651870137,2.236166980751353e-19,24.7279875
13,11,-0.0012650156798026764,2.236166980751353e-19,22.457537499999997
13,12,-0.0020402868465229386,2.236166980751353e-19,22.0573125
13,13,-0.0013585136380213137,2.236166980751353e-19,20.51775
13,14,-0.0009428919984689263,2.236166980751353e-19,21.00115
13,15,-0.0003864375761943638,2.236166980751353e-19,20.9448625
13,16,-0.0003223354038701263,2.236166980751353e-19,21.3992375
13,17,-0.00011521538295606378,2.236166980751353e-19,21.370099999999997
13,18,2.2452378036674753e-05,2.236166980751353e-19,22.058725
13,19,0.0004226605681831872,2.236166980751353e-19,23.0629375
13,20,0.0005224878776788246,2.236166980751353e-19,23.5919125
13,21,6.331039265732464e-05,2.236166980751353e-19,23.7299625
13,22,-0.003315950568767863,2.236166980751353e-19,23.9419875
14,0,-0.0038145610452437755,-0.00020465107504026228,26.7758375
14,1,-0.0029053048268556005,-6.798785745408729e-05,27.2821625
14,2,-0.002859728583118117,1.3914013006912715e-05,27.909437500000003
14,3,-0.0027585993621584916,6.848221823838771e-05,29.95785
14,4,-0.0013489236298185293,-5.424470042059979e-05,30.75965
14,5,-0.0005973591729490918,-1.3290099271249793e-05,31.100699999999996
14,6,-0.0004391126149197918,-8.151727852006229e-05,31.1213
14,7,0.0040536883516456455,-0.0002453470501026248,30.8042125
14,8,0.004062678330041383,-0.0003140957852192248,26.681175000000003
14,9,0.0036289570119441457,-0.0007521629129850248,24.776500000000002
14,10,0.0032756052345516745,-0.0005731307494557872,26.0848125
14,11,0.002553409839660424,-0.0004084292131895247,25.836437500000002
14,12,0.0010215860153047495,-0.0004498645919076373,21.7330625
14,13,0.001150228534974087,-0.00034013375599004975,21.31225
14,14,0.001196080832451687,-0.0005318695260880248,21.865412499999998
14,15,-0.00048309200971743797,-0.0005462832683407748,20.407125
14,16,-0.0006295081253331004,-0.0001767722750912623,20.9652875
14,17,-0.0014561247599959755,9.719589947601267e-05,21.1193625
14,18,-0.0012597227428625755,1.4653745381875197e-05,19.226212500000003
14,19,-0.0004761955776369255,-9.49890550770123e-05,16.380512500000002
14,20,-0.0002061446152322255,0.0001787041230556627,20.4914625
14,21,-0.000383960381378688,-4.038022028104979e-05,18.631850000000004
14,22,0.0012700854356030747,0.0003427665347711502,18.609862500000002
15,0,0.001161646554427062,0.00046626859174861277,22.0609875
15,1,-0.000761541292342513,0.0003290853685096878,23.4423
15,2,8.78409677907121e-05,0.00013738734044496274,23.76595
15,3,-0.00044663833510648793,-0.00012331992385466228,21.7106875
15,4,-0.0007660479945496119,-0.00026040067947623725,23.1471125
15,5,-0.0006779393711333119,-0.0003562057298067873,22.0735125
15,6,-0.0005751911533949869,-0.00021915247110479977,23.15335
15,7,-0.0038714847344814996,-0.0006579614882466873,23.1126
15,8,-0.0036313026019800243,-0.0006032200313888373,21.37115
15,9,-0.001010463389595187,-0.0005758995034988999,20.12595
15,10,-0.0010841444629013243,-0.00027421478441223726,19.922575000000002
15,11,-0.00043070262219186187,-5.440254464381228e-05,22.525637500000002
15,12,0.00014422980779332459,-0.00010935455982901229,22.5488
15,13,-0.0002199817732448379,-0.0001643104859399623,23.350375
15,14,0.0008881650938204497,-9.54831083558873e-05,24.228125
15,15,0.0018929864981897246,0.0003437372650851127,24.47225
15,16,0.0025271096738707496,0.0005769778168392502,23.0760125
15,17,0.0023821990788739497,0.0007276688435071002,23.706500000000002
15,18,0.0020829458720652747,0.0006451178880975127,24.339575
15,19,0.0032705254487693496,0.0003708313735970877,23.6401
15,20,0.001974005242406737,0.0004395408032230002,22.8348625
15,21,0.0029241824664173995,0.0005218564387907377,21.516237500000003
15,22,0.0013967650784012246,0.00020639314795791271,20.868637500000002
16,0,0.0010652596577641247,0.0002474007935656502,24.142075
16,1,0.0013601860547062371,-0.00010913155443401234,26.6729
16,2,0.005309104416385511,-0.0003009206155010498,27.2194
16,3,0.00022768781948772406,-0.00030092061550104985,28.139712499999998
16,4,-0.0010014055578540257,-0.00012297778178039983,30.7114125
16,5,0.00011329865802663683,-0.00026013214232837483,31.9765875
16,6,0.00038523088146351185,-0.0002874851749529373,34.709975
16,7,0.0008361121763890243,0.00015134444769795022,35.166775
16,8,0.003707410857595249,-0.00041056277188613726,31.896425000000004
16,9,0.0033941245693665492,-0.00021854868819591225,29.857675000000004
16,10,-0.0013923543294566381,-0.00030106819390579977,29.3422625
16,11,0.004275976319407762,-0.00046607929617273726,27.555475
16,12,0.0039621671704973,-0.00025938043419692475,26.6017125
16,13,0.004013540626807025,-0.00020472538223469973,25.049725000000002
16,14,0.003881307349788637,-0.00042475264871647477,23.285225
16,15,0.0034689198638299997,-0.0003963138997566247,22.951225
16,16,3.5267317194124766e-05,-0.00010896187091546225,23.363825
16,17,-0.0004365465994730002,1.147816229512752e-06,23.1359875
16,18,-0.0010077307194894128,-6.752852250222475e-05,22.5352875
16,19,0.0008607286932723747,-0.0003840865293758247,22.9118875
16,20,0.002538726979918887,-0.0005076250072956746,21.6231625
16,21,0.0017491373702207874,-0.0003838360787195997,21.705637499999998
16,22,0.0005627694334804246,-1.1993870782499701e-05,21.36225
17,0,0.00043937389053536215,-0.0006321564655516123,24.909662499999996
17,1,0.001877693746849087,-0.0003010347899333496,23.99505
17,2,0.0017441021167495497,-0.0005488621509037372,24.3477125
17,3,0.002588645901804062,-0.0003013917281856372,25.1243125
17,4,0.0006170077562595495,0.0002353760055137503,25.848712499999998
17,5,-0.0010733046086857255,0.00020762973628207532,26.059275
17,6,-0.001555097569408388,5.59779369239753e-05,25.376625
17,7,-0.0012508872060823378,-0.0002199588401951122,25.506462499999998
17,8,-0.00046874746557258785,4.300427749002881e-07,21.9703375
17,9,-0.0009676997799909004,-0.00022073924971269973,22.95025
