Dia,Hora,BTC-USD,USD/EUR,Sentimentos_PreProcessados
1,5,-0.0030639626335359333,7.392039919641667e-05,29.47623333333333
1,11,0.0015274330371663168,0.000258622023823,24.726166666666668
1,17,0.004872933792427168,0.00016588886544583335,23.37025
2,0,0.0020674011900215007,-7.359895850171667e-05,33.06888333333333
2,6,-0.0013820984204010332,0.0,29.689983333333334
2,12,0.0005404565270659003,0.0,26.669416666666667
2,18,-0.0036594693316491667,-0.0002603636407131,42.37005
3,1,0.001017456855074583,0.00025947020483258333,45.317116666666664
3,7,-0.0016400969049671034,5.562566835469999e-05,22.617383333333333
3,13,0.0017138069723801165,0.00016677737657540002,24.24631666666667
3,19,-0.006297117453214151,0.0004064375018773,17.604983333333333
4,2,-0.0028357280646866176,0.0005197160374380167,21.05875
4,8,0.00040499649334863535,0.00023906722235129995,26.62795
4,14,-0.002512656203591868,0.0016285208736537,25.44151666666666
4,20,-0.005590038592821867,-0.00041770615121536673,23.97775
5,3,-0.002737629092365251,0.00032811998602203326,35.56078333333334
5,9,-8.942411323353398e-05,0.0,27.205316666666665
5,15,0.0005916475149929828,0.0,22.933033333333338
5,21,0.001067456948921266,0.0,19.62595
6,4,0.0005977757816915495,0.0,31.825300000000002
6,10,-0.005062020343213701,0.0,27.268666666666665
6,16,0.0038567876858632325,0.0,30.572316666666666
6,22,-0.0008310863882141839,0.0,24.728883333333332
7,5,-0.001333500373878703,0.0005655625747905166,38.30375
7,11,0.0010819484928615895,0.00025463846570085,30.916883333333335
7,17,0.0019259683638206831,-0.00023420222872529994,28.261950000000002
8,0,-0.0017941915621116338,0.0004356714951955501,21.87131666666667
8,6,-9.154574291575064e-05,-5.40054932753833e-05,28.636499999999998
8,12,0.002248097974035816,-0.0006884169279141166,29.909050000000004
8,18,-2.191659682618397e-05,-0.00019613410566653327,24.497083333333332
9,1,0.0012034740241625328,6.407782010334828e-07,24.426066666666667
9,7,0.010765172060107233,-5.4404621318833184e-05,28.346549999999997
9,13,0.00033274008325656553,-0.0014608332996863833,20.555116666666667
9,19,0.0014963926573884657,-0.0009744536700369332,24.498183333333333
10,2,-0.005521135575154368,0.0005539755905596001,24.279816666666665
10,8,-0.006833363411530835,0.0003138391057534001,26.777416666666664
10,14,0.0002253643908045489,0.00031767975684579997,20.807033333333333
10,20,0.0014998244831535654,0.0005135909798306501,24.228466666666666
11,3,-0.0038812006220554675,-5.41730283820999e-05,27.985716666666672
11,9,0.0013656639184997821,0.00056817100773425,30.08808333333333
11,15,0.00033034919059193234,5.696942692235001e-05,23.78323333333333
11,21,-0.0010137079547445846,0.0007851227650657666,18.88025
12,4,0.0018452490374410817,1.8185239337266676e-05,28.961816666666664
12,10,0.0005360230273472812,9.03501810404587e-21,24.059516666666667
12,16,-0.000490239655688016,9.03501810404587e-21,22.5638
12,22,0.00013511811241593172,9.03501810404587e-21,19.32753333333333
13,5,0.0011077560372563318,9.03501810404587e-21,37.233583333333335
13,11,-0.0016126993975192697,9.03501810404587e-21,20.73965
13,17,0.0007433175080114319,9.03501810404587e-21,23.246716666666668
14,0,-0.004944789831391418,-0.00027286810005368333,27.85785
14,6,0.00350175057385421,0.00016417839536026665,28.6478
