Dia,Hora,BTC-USD,USD/EUR,Gold_ETF,Oil_ETF,Dow_Jones,S&P500,Sentimentos_PreProcessados
1,0,45597.73046875,0.9032999873161316,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,57.0284
1,1,45128.6640625,0.902899980545044,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,25.6996
1,2,44432.62890625,0.903599977493286,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,31.6333
1,3,44573.2578125,0.9035000205039978,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,19.8053
1,4,44754.609375,0.9035000205039978,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,20.9343
1,5,44711.43359375,0.9031999707221984,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,21.7565
1,6,44844.25,0.902899980545044,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,30.4266
1,7,45053.359375,0.9042999744415284,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,23.6911
1,8,45155.94140625,0.9039000272750854,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,25.5509
1,9,45113.328125,0.9042999744415284,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,26.9582
1,10,45221.546875,0.9034000039100648,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,21.7383
1,11,45122.015625,0.9046000242233276,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,19.9919
1,12,45245.26171875,0.9050999879837036,180.72999572753903,74.12000274658203,34688.51171875,4532.2998046875,31.2107
1,13,45452.1640625,0.9050999879837036,179.61500549316406,73.91000366210938,34609.30078125,4526.43994140625,27.9401
1,14,45992.0390625,0.9059000015258788,179.92999267578125,74.55000305175781,34704.48046875,4532.93994140625,25.0792
1,15,46557.36328125,0.9052000045776368,179.63999938964844,73.8499984741211,34613.30078125,4520.14990234375,20.0541
1,16,46178.4375,0.9056000113487244,179.1999969482422,74.18990325927734,34574.41015625,4512.3701171875,12.3577
1,17,46451.0078125,0.9054999947547911,179.6300048828125,74.01000213623047,34795.58984375,4537.3798828125,23.5797
1,18,46360.69140625,0.9056000113487244,179.6699981689453,74.05999755859375,34719.078125,4526.7900390625,26.4236
1,19,46369.453125,0.9049999713897704,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,26.7423
1,20,46178.52734375,0.9049000144004822,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,28.8617
1,21,46315.58984375,0.9050999879837036,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,36.4633
1,22,46304.5703125,0.9050999879837036,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,18.5566
2,0,47003.4296875,0.9050999879837036,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,61.3658
2,1,46759.08203125,0.9050999879837036,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,35.8586
2,2,46531.87109375,0.9050999879837036,179.44000244140625,74.16999816894531,34810.359375,4544.7900390625,30.881899999999998
2,3,45473.83203125,0.902099996805191,89.72000122070312,37.084999084472656,17405.1796875,2272.39501953125,56.425
2,4,45418.927734375,0.9019999802112579,89.72000122070312,37.084999084472656,17405.1796875,2272.39501953125,68.6007
2,5,45434.72430203046,0.9023426395987496,91.08629565553616,37.649745263424016,17670.233185279187,2307.0000198286803,40.2754
2,6,45286.44707914573,0.902911035858806,90.1708554981941,37.27135586379161,17492.64290201005,2283.8140899811556,46.3545
2,7,45241.884765625,0.9032000005245209,89.72000122070312,37.084999084472656,17405.1796875,2272.39501953125,51.6628
2,8,45255.389506124375,0.9034085465436006,90.1708554981941,37.27135586379161,17492.64290201005,2283.8140899811556,52.0492
2,9,45347.009486607145,0.9035816314269085,91.5510216537787,37.8418358004823,17760.38743622449,2318.770428093112,50.9876
2,10,45430.66965418782,0.9031304408451022,91.08629565553616,37.649745263424016,17670.233185279187,2307.0000198286803,38.3277
2,11,45356.75733901515,0.9029222028424041,90.62626385929609,37.459595034820865,17580.989583333332,2295.3485045770203,49.3559
2,12,45385.28515625,0.9023000001907349,89.72000122070312,37.084999084472656,17405.1796875,2272.39501953125,39.6086
2,13,45124.82912609925,0.9027120671679626,90.1708554981941,37.27135586379161,17492.64290201005,2283.8140899811556,50.2992
2,14,45663.90240323604,0.9031796875943993,180.00132193783213,73.71020844745152,34233.86986437183,4449.227767092322,53.5665
2,15,45230.031131628784,0.9041101017383614,179.54393760604088,73.71464553987137,34337.36553030303,4460.61406545928,64.754
2,16,45319.8671875,0.9027499854564667,179.3375015258789,73.90999984741211,34350.099609375,4463.18505859375,49.9991
2,17,45127.67578125,0.902649998664856,179.3800048828125,74.0754508972168,34376.810546875,4468.510009765625,46.9798
2,18,44762.416015625,0.90174999833107,179.62000274658203,74.70000076293945,34371.775390625,4468.0,47.2173
2,19,44956.05449120603,0.9020653151387545,179.78326998763347,75.06050113697148,34372.38581579774,4469.833645767902,60.9645
2,20,45011.7903776696,0.9017668324499274,179.5693464422945,74.79185746542773,34349.034999214826,4465.605002551822,35.7197
2,21,45081.408203125,0.9020499885082245,179.56999969482422,74.79499816894531,34346.705078125,4465.205078125,43.8441
2,22,45126.720703125,0.9020499885082245,179.56999969482422,74.79499816894531,34346.705078125,4465.205078125,39.5998
3,0,44017.53125,0.9003999829292297,179.6999969482422,75.41999816894531,33883.05078125,4385.6201171875,55.6894
3,1,43840.328125,0.900600016117096,179.6999969482422,75.41999816894531,33883.05078125,4385.6201171875,36.0852
