Hora,BTC-USD,USD/EUR,Gold_ETF,Oil_ETF,Dow_Jones,S&P500
2022-03-25 18:00:00+00:00,44460.203125,0.9100000262260436,182.50999450683597,81.01000213623047,34678.9609375,4517.2001953125
2022-03-25 19:00:00+00:00,44392.8125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-25 20:00:00+00:00,44509.0625,0.9104999899864196,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-25 21:00:00+00:00,44515.828125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-25 22:00:00+00:00,44349.0625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-25 23:00:00+00:00,44368.33203125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 00:00:00+00:00,44221.04296875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 01:00:00+00:00,44288.54296875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 02:00:00+00:00,44257.609375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 03:00:00+00:00,44403.7734375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 04:00:00+00:00,44432.17578125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 05:00:00+00:00,44488.51953125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 06:00:00+00:00,44426.85546875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 07:00:00+00:00,44531.28125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 08:00:00+00:00,44496.7890625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 09:00:00+00:00,44482.78515625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 10:00:00+00:00,44440.421875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 11:00:00+00:00,44398.9921875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 12:00:00+00:00,44361.23828125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 13:00:00+00:00,44269.16015625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 14:00:00+00:00,44230.62109375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 15:00:00+00:00,44242.546875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
